"","traitName","H2","H2_se","h2","h2_se","R2_UBHDD","R2_UBHDD_se","R2_UBHDD_shuffle","R2_UBHDD_shuffle_se","R2_TG_Tg","R2_TG_Tng","h2_Tg","h2_Tng","QTL_num_Tg","QTL_num_Tng","identical_score"
"1","C11.1_A",0.71699184296771,0.0649957186759366,0.217903408143499,0.0416282941615808,0.70123219618085,0.0620167411036862,0.00542660688223103,0.0108884861834844,0.752845358902794,0.192474427572308,0.251057004056057,0.0313178135484961,5,0,0.878422690097748
"2","C12.1_A",0.737976790047758,0.0581329470076238,0.246066134528995,0.042910001331489,0.76163550480421,0.0774546235341157,0.00474213963265066,0.00914767636900314,0.775232306277809,0.1666741673317,0.277186984231902,0.0252237653101045,5,0,0.837503642791893
"3","C13_A",0.652515118935446,0.0254816567819382,0.346591614224722,0.0440169247687395,0.588882736121844,0.0820986806203834,0.00356536419131162,0.00902464406341553,0.669886792296752,0.313377703909766,0.331314037860319,0.250143638065643,7,4,0.754044244068154
"4","C103_A",0.780436456607552,0.0502037921732664,0.312104586187915,0.0468977312259963,0.73948957139856,0.0766878171634847,0.00331349952025612,0.00814388224855323,0.773052638110406,0.205824197032617,0.303217607731263,0.0554301736535583,6,1,0.812094570734739
"5","C104_A",0.700577268690561,0.049375279434225,0.223599121739727,0.0414495907551721,0.64727531849277,0.072122868309948,0.000594236012594567,0.00170182848150721,0.690525380148979,0.298565208197114,0.207595222183966,0.0740689026461337,4,0,0.846103997288313
"6","C115_A",0.875147399411649,0.0244811707411817,0.50434932564167,0.046826223059925,0.745506997622168,0.0710340663383649,0.00367434410188658,0.00790256567786587,0.856546495168405,0.142283430402729,0.479576655559733,0.10712016909905,10,1,0.921939538519993
"7","C126_A",0.496521160314055,0.0513360112922455,0.109168162935408,0.0534452078031739,0.325392849942895,0.0946900287079899,0.00132276261080584,0.00363840505086083,0.455862775136837,0.409578144172175,0.137209388988621,0.0937842681650897,2,2,0.721511531102452
"8","C127_A",0.421465303695408,0.0405165015317628,0.0281990951015363,0.0348955859864848,0.509008205534081,0.0694452831948685,0.00507915506318267,0.0109758870143146,0.593973416889429,0.271493139856827,0.0847012386679583,0.00162226858754521,1,0,0.551383687894628
"9","D14.1_A",0.415466236082318,0.0482689997309812,0.124115832006712,0.043240189796344,0.815445456655917,0.0645832058938845,0.00118430144461151,0.00250727982281867,0.763511465579562,0.0776497514298569,0.116991636557419,0.0339599655226253,2,0,0.979960255693736
"10","D15.1_A",0.585852214774638,0.0444145427131223,0.190195847707439,0.0406200601697436,0.61054229743325,0.111238178500775,0.0070138690470857,0.0134125549720302,0.712661764777032,0.203972887264106,0.18875137497864,0.0658645084079278,6,1,0.954898859201734
"11","D16.1_A",0.388928716031305,0.0400633168448001,0.169030924448136,0.0391593133823646,0.507730590824504,0.0804029620214588,0.00454450149509178,0.00882124999388292,0.617565479119874,0.301372097389747,0.143768708581902,0.0786307243360487,5,0,0.723256805105988
"12","D17.1_A",0.630548682935587,0.0458004898245884,0.0602083515030165,0.0312037635701883,0.728500605852398,0.0770403613788129,0.00288969842999916,0.00409836167169882,0.773133498362282,0.190190400313572,0.0442411504456244,0.0738234848249074,1,0,0.973500677074346
"13","D102_A",0.776511178949889,0.0439850157047085,0.288774955645635,0.0425217507813857,0.739439058750875,0.06762857367483,0.00415058676960818,0.0123713677515323,0.76800993878242,0.195037094183827,0.291301064271386,0.0558614434517446,6,1,0.848669893458539
"14","D105_A",0.664828460716006,0.0251978997047502,0.233543396527993,0.0368575379199718,0.417787661418612,0.134874165179546,0.00550007134717274,0.0137339878132752,0.610186543344224,0.309339916574321,0.237485251229791,0.134198012197495,6,1,0.870967558999357
"15","D117_A",0.722065612132276,0.0260207182461696,0.224024967086482,0.0367239931481632,0.677037460369359,0.0706635965590017,0.00634867826733861,0.0173085510363101,0.728580044190494,0.234251199204989,0.230712544867489,0.117870958560948,6,2,0.931506114728265
"16","D127_A",0.772351805381483,0.044811405518985,0.295606565195515,0.0427893206878976,0.73666741095201,0.0559670394232541,0.00355869856112361,0.0100146347480939,0.759214461920438,0.211357520778546,0.276167756754544,0.084742572955946,4,1,0.750453831350079
"17","D135_A",0.740533183825705,0.0298866474789965,0.268523473936412,0.0389343200536569,0.552963573964436,0.0784536200536245,0.00436053862517077,0.0129246223743207,0.680482915429015,0.276599364045431,0.239493454980374,0.120957369757806,6,2,0.801406154742373
"18","D147_A",0.707830722217975,0.0210180417223798,0.23325824883975,0.0402875564083105,0.533097765507052,0.0931321627982659,0.00309057911333602,0.00807375915194466,0.633699859002384,0.30475702376272,0.180984425918374,0.155421738650126,5,2,0.949765555798088
"19","D148_A",0.761418950415757,0.0192607672587212,0.290806402146085,0.0392832831310657,0.373938662442797,0.149780199741412,0.00411975049081875,0.0091619890290554,0.575637193922652,0.463283392250365,0.216508684999146,0.210002655622316,5,4,0.766292400893532
"20","D154_A",0.519250449934082,0.0481133544658772,0.248209016431287,0.0700062109743893,0.489256503814316,0.083576348804887,0.00237275977900295,0.0036419867856802,0.683134033842967,0.251298024395461,0.306823629167306,0.0416039921685239,7,0,0.740513955190571
"21","D155_A",0.494569264341794,0.0583463782656126,0.234447447967882,0.0898599491425657,0.350675689975142,0.1416637852622,0.00706920227494334,0.0134317538486034,0.665570063473998,0.315415018498372,0.327231914561871,0.023414939055495,6,0,0.637871724240644
"22","D173_A",0.402812515049539,0.0512894615743507,0.181791678757013,0.0443383418829623,0.811340523976782,0.0702239384199309,0.0013322690891357,0.0030163256617023,0.741597473908205,0.108911542389321,0.175164531965179,0.0465417335540318,3,1,0.937656450093059
"23","D176_A",0.409873171695571,0.0488320067511386,0.175792893447782,0.0442986924989455,0.827758779398026,0.054413706896601,0.00135812897785352,0.00263918598995225,0.746223505358427,0.116179745127932,0.175180791452076,0.0461216881029646,3,1,0.936352963081297
"24","D179_A",0.443380124308994,0.0365434608337508,0.099439259652822,0.0440031413312482,0.833654069022191,0.0507246842400643,0.000852281522923099,0.00225088674246434,0.758212260315111,0.0770949798494994,0.0853096466481578,0.0205034759217716,2,0,0.973346596240112
"25","D182_A",0.548100397358623,0.0438700653427689,0.132520162473011,0.0364349189734229,0.873238082234475,0.0395363467369273,0.00127107651474313,0.0025603021404938,0.768880311430477,0.0872439482878834,0.118958206896547,0.0405942191707177,3,1,0.927672159167258
"26","D188_A",0.40119267729659,0.0731573380978431,0.180533955301562,0.041453529271449,0.700365063874543,0.0677586546345324,0.00257570403294265,0.00769922340959748,0.707097392394742,0.169783100026543,0.173188865470703,0.0355953059052743,2,1,0.877094088078267
"27","D191_A",0.35410445961065,0.0413195457228489,0.173714788431523,0.0403242284414175,0.448514245771914,0.102402949970642,0.00475547113675002,0.00881791051978099,0.591335823131202,0.323368538673433,0.143400959897643,0.0893423200817065,5,1,0.68858519292007
"28","D194_A",0.466746433747499,0.0483071522329795,0.0386721699148417,0.0267172015656603,0.447816672862838,0.100400412528952,0.000190023553242725,0.000589576060114719,0.525714102849421,0.410048050282293,0.0640188407008359,0.0186467466772749,1,0,0.686705310930789
"29","CCV11.1_A",0.629329245950793,0.0286004436811181,0.174797775785657,0.0421021248015571,0.478345011764142,0.0696709154985685,0.00177034437859087,0.00472696257872378,0.588759029488632,0.349524735915796,0.205757279369538,0.0408032779243876,5,1,0.734114185111667
"30","CCV12.1_A",0.644962379020818,0.029920936393434,0.16860150802999,0.0437535628336866,0.617727266922671,0.0864476249057481,0.00308266932651728,0.00781514123443194,0.715517147005702,0.188997726459917,0.205357108941813,0.0254112088688427,5,0,0.812215336195083
"31","CCV13_A",0.289762565894828,0.0511539711262681,0.0603907036368822,0.0445667925849239,0.140433926631228,0.0777111946765072,0.00480678030623893,0.00888312414573813,0.334528202790977,0.494877217620224,0.166719462805809,0.00226963916292368,4,0,0.623198840687258
"32","CCV103_A",0.710559713330657,0.0288295785088403,0.251982063702464,0.0533329583114244,0.66060684388362,0.0466768715098114,0.00552898893755015,0.011061320337589,0.712274623953007,0.24072255295387,0.272805329112778,0.0596483314948989,5,0,0.653471059734027
"33","CCV104_A",0.620821852530776,0.0286577234429993,0.0616300610967598,0.0343077481896039,0.614259174956739,0.0450916490987273,0.00574033186090009,0.0128947750261238,0.721098101215621,0.17871659298472,0.117152204077728,1.00005359943823e-09,2,0,0.870363501567853
"34","CCV115_A",0.801453910565179,0.0312989533298463,0.451035919075356,0.0551290352905371,0.690352106100918,0.0807320942620155,0.00250572953814786,0.00851688554027699,0.804736872402594,0.15714161114259,0.463423894666116,0.0874998897955277,10,1,0.696260209191413
"35","CCV126_A",0.584360642409284,0.0341121519030567,0.167511928493915,0.0375162974692128,0.28698736797411,0.120098721038685,0.00632651076071387,0.00849318506396389,0.453936462301748,0.492822204570878,0.155552801999691,0.119317795442586,2,2,0.79920024828069
"36","CCV127_A",0.31141465584302,0.0423716126030517,0.00524660015313379,0.0356002447752743,0.242253469164322,0.0894849795239544,0.00888701578355798,0.0216243145676049,0.433953759353279,0.387693405089154,0.0217085862033489,0.0123096424143191,2,1,0.544083789081441
"37","DCV14.1_A",0.314034557303347,0.0353965550468802,0.147794308835353,0.0390051768620554,0.514840183703807,0.0883635689326596,0.00465185796349095,0.00833451813370632,0.596138481097266,0.303235969294303,0.173675034344287,0.0604191029798106,5,2,0.829084654976455
"38","DCV15.1_A",0.230661148175499,0.0501772127075444,0.119193461483773,0.0348987686127155,0.495967062218727,0.0982912150061917,0.00102985723195174,0.00215701424445462,0.662515119909134,0.252739942092182,0.104169985645512,0.0191921913369711,4,0,0.761686227915432
"39","DCV16.1_A",0.330310950971492,0.0397253380271531,0.119490047973402,0.0346772508782096,0.615920323800739,0.0940971315463805,0.00232713927377139,0.00651974604735023,0.718871918319842,0.214006828028254,0.121708783106323,0.0500505137725578,5,0,0.750215140792673
"40","DCV17.1_A",0.52212541897836,0.0321786104482451,0.087556782045373,0.0301451898509049,0.522804052843358,0.0912359996334016,0.00303134561474439,0.00585944056991574,0.664597527586131,0.195021874493975,0.0695920937920994,0.0797505438233098,3,0,0.544556951453607
"41","DCV102_A",0.575315118383912,0.0478637751249811,0.275475135956021,0.0657312724423222,0.413535708730521,0.09008655292266,0.00928653775730229,0.0181743081281132,0.605498586496535,0.356641039849328,0.409621060664091,0.0255639199778258,6,0,0.729199948209868
"42","DCV105_A",0.508993635952963,0.0318405857453248,0.216196383777132,0.0382167557715914,0.408264822981339,0.0584933340046438,0.00643749138448995,0.0168237505113647,0.579533623801545,0.26411003169185,0.209431564898596,0.0912612157065054,5,1,0.790680066996783
"43","DCV117_A",0.365397640448291,0.034329541990945,0.146944945270759,0.0392133287041287,0.333397337947981,0.105697708466237,0.00344924757161625,0.00981741254431727,0.496278229146978,0.340144065072045,0.155764780271109,0.0535815034315516,3,0,0.669755480284696
"44","DCV127_A",0.546137815788015,0.0469311711157623,0.244603415587035,0.0690874279979905,0.399105876196634,0.106243287005907,0.00520469198214712,0.0170261370321751,0.674176984331992,0.222328130525404,0.369091216903929,1.00001671727435e-09,4,0,0.720946880770504
"45","DCV135_A",0.3300778771046,0.0389613544682729,0.134994577327494,0.0376714787683439,0.314943436978195,0.0846736857421863,0.00675254897038877,0.00934535549098516,0.490505315768066,0.370823138160123,0.190071716407939,0.0527110263289826,4,0,0.667021729346783
"46","DCV147_A",0.478402154057706,0.0324220564784178,0.165821240689776,0.0361695224456339,0.384991034919097,0.101130032473996,0.00353491438334838,0.00609334212872311,0.575535237789457,0.291610799261101,0.161558667236765,0.0906891494871767,5,1,0.502071145362018
"47","DCV148_A",0.4379009730713,0.036969465414942,0.158620232286103,0.0369948486332814,0.284300529001486,0.10934213764754,0.0044080217566139,0.00796705190971107,0.513138392408019,0.391179820443628,0.207647177915067,0.0820741600176155,5,0,0.462089428005323
"48","DCV154_A",0.449771879037124,0.0444957513262182,0.253285181384487,0.0403840740853478,0.348322570641263,0.132292443807265,0.00299730383910063,0.00450417530316696,0.64368017915705,0.251203049499043,0.326103564169178,0.0406374946825537,8,1,0.705291277320857
"49","DCV155_A",0.423741595283557,0.0351889933760761,0.273667336635272,0.0441903624548399,0.435255711974293,0.0715517633820472,0.00214723449016364,0.00462133129324555,0.578969036139356,0.309507214952671,0.405384203091971,0.0329439179865822,11,1,0.661011372700127
"50","DCV173_A",0.411533749965938,0.0348078663816365,0.161637568997892,0.0397522247656392,0.533823575077544,0.0997041456334179,0.00278322818716086,0.00615814705116868,0.603167955539847,0.239413555082731,0.143825742423801,0.072326786214552,3,0,0.788155524077424
"51","DCV176_A",0.387822594201486,0.0356239184072895,0.162409108058956,0.040664610714252,0.508247086583603,0.0633671077447487,0.00633973328287221,0.0140683202905453,0.585575302305776,0.229953254282887,0.154792276956807,0.0586601811880492,5,1,0.841737355657261
"52","DCV179_A",0.341265997505357,0.045243585933903,0.100792671004914,0.034673335174463,0.574596822481177,0.164641954637412,0.00549535654418937,0.0114275230117543,0.642490916669113,0.259164676722316,0.13225511167414,0.0284450869062776,4,0,0.742853227802233
"53","DCV182_A",0.423305097041487,0.0444471172626647,0.106709206231328,0.0330930000750807,0.675098601765657,0.0529435458905256,0.00458884303636776,0.00961322447596047,0.654135314796835,0.164790508558615,0.134122105223325,0.0396662674772834,3,0,0.598473197785674
"54","DCV188_A",0.25816310914219,0.0361418699848372,0.12546352856322,0.0391142356290085,0.457169911697315,0.109460035142801,0.00539097880610876,0.01394891393012,0.579879536423065,0.240314539368746,0.166903172943981,0.0192067606685789,4,0,0.939812453684614
"55","DCV191_A",0.315876379512163,0.0418993117620484,0.123041255600967,0.0352243181164686,0.623398460821167,0.103079706529078,0.00192205099183969,0.00535787467382098,0.687877832716024,0.297308626274702,0.132238265706384,0.0591661055077261,5,0,0.763565500311213
"56","DCV194_A",0.42472138934404,0.0412165448381413,0.0187197138587772,0.0285715974082706,0.458232407695185,0.0463635892931058,0.00526933804156401,0.0122832476081615,0.463659199097119,0.403045491099417,0.0416359875819014,1.00040202483305e-09,0,0,0.735738838492458
"57","C11.1_A1B",0.496214185386438,0.0708690227199348,0.206275237322874,0.0439267628202219,0.66523041139688,0.0899752000729807,0.00647301769290851,0.0170762094918534,0.649710484273686,0.165829397814057,0.225425805716703,0.0121463728415208,10,0,0.906952482623217
"58","C11.2_A1B",0.262320735040023,0.0401908020712457,0.11082229008128,0.0361076010311266,0.648725320895138,0.097597562086717,0.00537759892607036,0.0127663783801569,0.547025641044025,0.192283623994376,0.0982626955610091,0.0590063895561319,3,0,0.895891386909258
"59","C12.1_A1B",0.531412812717179,0.0664146742409439,0.248460793097262,0.0447908587087493,0.601299005006076,0.164147412831203,0.00527845363139468,0.0155374715311665,0.644786597026887,0.207188890520801,0.242407485352717,0.0524107662089325,10,1,0.898849807819527
"60","C12.2_A1B",0.256035570372575,0.0371443491935661,0.139456780415286,0.0382482100818319,0.507942611629371,0.119066799234585,0.00388479704888473,0.00794530088288977,0.483929363739791,0.239016281691174,0.137593260089404,0.107470191413299,3,0,0.61004160084468
"61","C13_A1B",0.540565532271686,0.0489174262199157,0.237352856376194,0.0420933470188976,0.500654353064652,0.0512973803832373,0.00120402231673219,0.00230864542662484,0.571649636899617,0.339222720953726,0.273407749357247,0.135274452939752,4,1,0.950308437665968
"62","C101_A1B",0.465783579909859,0.0727288780419598,0.182482692021519,0.0410390924305205,0.374040282596787,0.121046276901319,0.0069687149261748,0.0238374770158712,0.500833429718427,0.320624410059877,0.16812672022504,0.0968825736140153,6,0,0.79680851370833
"63","C102_A1B",0.470480464143448,0.0640202511193479,0.213235140863239,0.0399670286865657,0.54486700679533,0.113858789466802,0.00809035320362538,0.0219959881518434,0.570428273408658,0.245507038076183,0.212496513260508,0.0594650416652281,5,0,0.815258595326988
"64","C103_A1B",0.548318498502596,0.0655185581542679,0.296259297848128,0.0484747824700025,0.662236818468477,0.0926076525768888,0.00286088566477739,0.00964306364511125,0.673606174371462,0.15901911792594,0.275579277617218,0.0245134775668257,7,0,0.833327685713702
"65","C104_A1B",0.506203962946168,0.0515875499995121,0.226193886819153,0.0431427835984875,0.666051983023993,0.101463195612848,0.00866213302621882,0.0225296913246829,0.623123271331567,0.25096638871869,0.215958795985087,0.0692564543675644,5,0,0.877099894893103
"66","C105_A1B",0.285178103283311,0.0427246355216336,0.169760480644706,0.0450413786690269,0.349294807609141,0.12379996352253,0.00550399277681416,0.0134323587134718,0.514327127047289,0.250855945216357,0.21890188530133,0.0858279367512373,3,0,0.854754806618045
"67","C106_A1B",0.24123557012943,0.035907554954675,0.0831139617789684,0.0413605611539154,0.780246478323324,0.0479015741419088,0.0080711888615146,0.010760350613918,0.589991294301943,0.14606912599009,0.103931004861445,0.0183910399748102,0,0,0.984832976658885
"68","C107_A1B",0.280699557901095,0.0380475245551486,0.15798246186448,0.0367635304611628,0.677648210276047,0.060282131202143,0.00158071103237289,0.00325713898258967,0.548461581479899,0.159096246192189,0.133527973609038,0.0489793795047679,2,0,0.876004513651932
"69","C108_A1B",0.24751056641744,0.0430917392437217,0.120327646588162,0.0377567675152353,0.698563104635088,0.0804386586735723,0.00075743109058116,0.0020635434526693,0.544720180678365,0.173178091067869,0.14032345712498,1.00044418454328e-09,4,0,0.913115242595942
"70","C109_A1B",0.286493340873712,0.0471128267722774,0.183645185981763,0.037830683691243,0.524363724453149,0.104423633710471,0.0013895582130906,0.00456487634275602,0.521415599206054,0.233210777410009,0.221952181515075,0.0216808309689468,5,0,0.751266853879164
"71","C110_A1B",0.253765274436118,0.0321097079702218,0.0776693216136295,0.0399898265931857,0.715606825358154,0.103504026376151,0.00226780768670558,0.0052686422420037,0.629476596527068,0.134657944609537,0.10206661200231,0.0042906354023393,2,0,0.993373804553963
"72","C111_A1B",0.398052505825538,0.0555746816901159,0.209992938847384,0.0395576875625253,0.550574172262257,0.109544376877398,0.00133663896361508,0.00284093848905425,0.549372319695836,0.224678397378748,0.215914918448188,0.0473886438761787,5,0,0.818104148791283
"73","C112_A1B",0.573690451771988,0.0654564860560825,0.297737160400055,0.0465133524410404,0.678715914243818,0.0843006625995714,0.00532868102770633,0.0153426977030789,0.672464793468257,0.19208020732962,0.250516149221654,0.0706186705161581,6,0,0.850230448327298
"74","C113_A1B",0.200844534862906,0.0398456797299962,0.0877282304517122,0.0370994902702868,0.19646328744831,0.107039975572327,0.0055717747160835,0.0113520859935467,0.404018791347443,0.341155199659247,0.148215998057167,0.023565302448616,4,0,0.768048754076084
"75","C114_A1B",0.408832780925487,0.0535548618910862,0.297200369834822,0.0401946154230862,0.787338174421922,0.0427498011509624,0.00163784470025255,0.00290945801751601,0.674361304376502,0.105973478020796,0.315090720187503,0.0528362533208641,5,0,0.939798611920794
"76","C115_A1B",0.690324672303706,0.0363351797849419,0.562053302906955,0.0440631281889471,0.671915252402174,0.103495385162508,0.00207700096099709,0.00439284465174699,0.730869243066409,0.18567198233721,0.51193353446973,0.106348902752281,10,1,0.834984361911859
"77","C116_A1B",0.422444280664469,0.0335116401238841,0.184048002491469,0.0432697009654344,0.758047805472096,0.0448993153116605,0.00772398759217759,0.015549288455142,0.627344543260234,0.175246119387402,0.191716838682351,0.0181611812719781,4,0,0.922766908818719
"78","C117_A1B",0.314524362947748,0.0320961586272713,0.187804532582946,0.0479029987427349,0.537977419983412,0.0864685395763516,0.00183782756683192,0.00342381370776377,0.483645782472112,0.281896852931906,0.163820991515558,0.077014646330084,2,0,0.382007091507787
"79","C118_A1B",0.312883861108272,0.031065962152883,0.178974742529073,0.0456153601062709,0.726634803342473,0.0582548688051997,0.00324035794397385,0.00701391896483661,0.540247396060662,0.235820901346758,0.17096147236132,0.0610827913650179,2,0,0.589103345790599
"80","C123_A1B",0.338063763847611,0.0349966815256433,0.149797520609134,0.0455718360466466,0.548359014370657,0.0834200565575409,0.00310899861258197,0.00846810327484104,0.501574821945639,0.265669942835969,0.14875261812955,0.0494819948841452,3,0,0.287395794285823
"81","C124_A1B",0.170971734669247,0.0348291468717386,0.0321416804411145,0.0365270448872032,0.32904206034768,0.100797489510969,0.00945411039918884,0.019735426177437,0.400566841448322,0.301207748454977,0.0624277234025897,1.00003380874492e-09,1,0,0.7849338102967
"82","C125_A1B",0.282833478834596,0.0380134499695196,0.162801199100354,0.0387991544306186,0.672841787361506,0.0713593034607042,0.00524091182032467,0.0136098008861713,0.577869433499651,0.171241354349831,0.17330294428003,0.0250402549067046,4,0,0.585007075541825
